"DATA";"CNPJ";"NOME_INSTITUICAO";"COD_CONGL";"NOME_CONGL";"DATA_INICIO";"CI"
202103;60746948;"BCO BRADESCO S.A.";"C0010045";"BRADESCO";202012;10045
202103;60872504;"ITAÚ UNIBANCO HOLDING S.A.";"C0010069";"ITAU";202012;10069
202103;58160789;"BCO SAFRA S.A.";"C0010083";"SAFRA";202012;10083
202103;33172537;"BCO J.P. MORGAN S.A.";"C0020107";"JP MORGAN CHASE";202012;20107
202103;17184037;"BCO MERCANTIL DO BRASIL S.A.";"C0020152";"MERCANTIL DO BRASIL";202012;20152
202103;28127603;"BCO BANESTES S.A.";"C0030159";"BANESTES";202012;30159
202103;92702067;"BCO DO ESTADO DO RS S.A.";"C0030173";"BANRISUL";202012;30173
202103;61186680;"BCO BMG S.A.";"C0030290";"BMG";202012;30290
202103;90400888;"BCO SANTANDER (BRASIL) S.A.";"C0030379";"SANTANDER";202012;30379
202103;33479023;"BCO CITIBANK S.A.";"C0030403";"CITIBANK";202012;30403
202103;33987793;"BI CREDIT SUISSE S.A.";"C0030771";"CREDIT SUISSE";202012;30771
202103;17312083;"H H PICCHIONI S/A CCVM";"C0030829";"H.H.PICCHIONI";202012;30829
202103;14388334;"PARANA BCO S.A.";"C0030881";"PARANÁ BANCO";202012;30881
202103;59285411;"BANCO PAN";"C0031323";"PAN";202012;31323
202103;61533584;"BCO SOCIETE GENERALE BRASIL";"C0031859";"SOCIETE GENERALE";202012;31859
202103;60889128;"BCO SOFISA S.A.";"C0031873";"SOFISA";202012;31873
202103;208;"BRB - BCO DE BRASILIA S.A.";"C0031976";"BRB";202012;31976
202103;7450604;"BCO CCB BRASIL S.A.";"C0032119";"CCB";202012;32119
202103;28195667;"BCO ABC BRASIL S.A.";"C0041856";"ABC-BRASIL";202012;41856
202103;0;"BCO DO BRASIL S.A.";"C0049906";"BB";202012;49906
202103;30306294;"BANCO BTG PACTUAL S.A.";"C0049944";"BTG PACTUAL";202012;49944
202103;33644196;"BCO FATOR S.A.";"C0050122";"FATOR";202012;50122
202103;33923798;"BCO MÁXIMA S.A.";"C0050201";"MÁXIMA";202012;50201
202103;62144175;"BCO PINE S.A.";"C0050304";"PINE";202012;50304
202103;78626983;"BCO VR S.A.";"C0050524";"VR";202012;50524
202103;61024352;"BCO INDUSVAL S.A.";"C0050531";"INDUSVAL";202012;50531
202103;92228410;"OMNI SA CFI";"C0050940";"OMNI";202012;50940
202103;31895683;"BCO INDUSTRIAL DO BRASIL S.A.";"C0050988";"INDUSTRIAL DO BRASIL";202012;50988
202103;59588111;"BCO VOTORANTIM S.A.";"C0051011";"VOTORANTIM";202012;51011
202103;75647891;"BCO CRÉDIT AGRICOLE BR S.A.";"C0051066";"CREDIT AGRICOLE";202012;51066
202103;49336860;"ING BANK N.V.";"C0051073";"ING";202012;51073
202103;2685483;"CM CAPITAL MARKETS CCTVM LTDA";"C0051248";"CM CAPITAL MARKETS";202012;51248
202103;62073200;"BOFA MERRILL LYNCH BM S.A.";"C0051255";"BOFA MERRILL LYNCH";202012;51255
202103;60814191;"BCO MERCEDES-BENZ S.A.";"C0051262";"MERCEDES-BENZ";202012;51262
