var;formula;mod;fr;PENDOVAR
PL;X60000002 + X70000009 + X80000006;MOD;SIZE;
PL_CAP_SOC;X61100004;CAPITAL SOCIAL                                    ;;
LLproxy;X70000009 + X80000006;;;
ATIV_TOTAL;X39999993 - X30000001;MOD;SIZE;
ATIV;X10000007;;;
ATIV_DISP;X11000006;;;
ATIV_APLIC_INTERF;X12000005;;;
ATIV_AI_COMP;X12100008;;;
ATIV_AI_DI;X12200001;;;
ATIV_DERIV;X13300003;;;
ATIV_TVM;X13000004 - ATIV_DERIV;;;
ATIV_TVM_LIVRES;X13100007;;;
ATIV_TVM_VINC_COMP;X13200000;;;
ATIV_TVM_VINC_GARANT;X13600002;;;
ATIV_CRED;X16000001;CREDITO LÍQUIDO DE PROVISAO;;
ATIV_CRED_EMPREST_DESC;X16100004;EMPRESTIMOS E TITULOS DESCONTADOS                 ;;
ATIV_CRED_FINANC;X16200007;FINANCIAMENTOS                                    ;;
ATIV_CRED_FINANC_AGRO;X16300000;FINANCIAMENTOS RURAIS E AGROINDUSTRIAIS           ;;
ATIV_CRED_FINANC_IMOB;X16400003;FINANCIAMENTOS IMOBILIARIOS                       ;;
ATIV_CRED_FINANC_TVM;X16500006;FINANCIAMENTOS DE TITULOS E VALORES MOBILIARIOS   ;;
ATIV_CRED_AM;X17000000;OPERACOES DE ARRENDAMENTO MERCANTIL               ;;
ATIV_CRED_AF;X17100003;ARRENDAMENTOS FINANCEIROS A RECEBER               ;;
ATIV_AVAIS_FIANCAS_HONRADOS;X18100002;AVAIS E FIANCAS HONRADOS                          ;;
ATIV_CART_CAMBIO;X18200005;Carteira De Cambio                      ;;
ATIV_REND_A_RECEBER;X18300008;Rendas a Receber;;
ATIV_NIV;X18400001;Negociação e Intermediação de Valores;;
ATIV_CRED_ESPECIFICOS;X18500004;Créditos Específicos;;
ATIV_OPER_ESPECIAIS;X18600007;Operações Especiais;;
ATIV_VAL_ESPECIFICOS;X18700000;Valores Específicos;;
ATIV_DIVERSOS;X18800003;Diversos;;
ATIV_PROV;(X16900008+X17900007+X18900006)*(-1);;;
ATIV_INV;X21000003;INVESTIMENTOS                                     ;;
ATIV_INV_EXT;X21100006;INVESTIMENTOS NO EXTERIOR                         ;;
ATIV_INV_COLIG;X21200009;PARTICIPACOES EM COLIGADAS E CONTROLADAS NO PAIS  ;;
ATIV_IMOB_USO;X22000002;IMOBILIZADO DE USO                                ;;
ATIV_IMOB_ARREND;X23000001;IMOBILIZADO DE ARRENDAMENTO                       ;;
ATIV_DIFERIDO;X24000000;DIFERIDO                                          ;;
ATIV_INTANGIVEL;X25000009;INTANGIVEL                                        ;;
ATIV_PERM;X20000004 - ATIV_IMOB_ARREND;;;
ATIV_OPER;ATIV - ATIV_PERM;;;
TC;X31000000;;;
TCOFF;X30100004;;;
TC_AA;X31100003;OPERACOES DE RISCO NIVEL AA                       ;;
TC_A;X31200006;OPERACOES DE RISCO NIVEL A                        ;;
TC_B;X31300009;OPERACOES DE RISCO NIVELB                         ;;
TC_C;X31400002;OPERACOES DE RISCO NIVELC                         ;;
TC_D;X31500005;OPERACOES DE RISCO NIVEL D                        ;;
TC_E;X31600008;OPERACOES DE RISCO NIVEL E                        ;;
TC_F;X31700001;OPERACOES DE RISCO NIVEL F                        ;;
TC_G;X31800004;OPERACOES DE RISCO NIVEL G                        ;;
TC_H;X31900007;OPERACOES DE RISCO NIVEL H                        ;;
TC_EH;TC_E+TC_F+TC_G+TC_H;;;
TC_DH;TC_EH+TC_D;;;
PAS_DEP;X41000007;;;
PAS_DEP_VISTA;X41100000;;;
PAS_DEP_POUP;X41200003;;;
PAS_DEP_DI;X41300006;;;
PAS_DEP_PRAZO;X41500002;;;
PAS_DEP_ME;X41800001;;;
PAS_OBRIG_COMP;X42000006;;;
PAS_OBRIG_COMP_PROPRIA;X42100009;;;
PAS_OBRIG_COMP_TERC;X42200002;;;
PAS_TIT;X43000005;RECURSOS ACEITES CAMB,LI E HIP.,DEBENT.E SIMILARES;;
PAS_TIT_CAMB;X43100008;RECURSOS DE ACEITES DE TITULOS CAMBIAIS;;
PAS_TIT_IMOB;X43200001;RECURSOS DE LETRAS IMOBIL,HIPOTEC.,DE CRED. ESIM. ;;
PAS_TIT_DEB;X43400007;RECURSOS DE DEBENTURES                            ;;
PAS_TIT_EXT;X43500000;OBRIGACOES P/TITULOS E VALS.MOBILIARIOS EXTERIOR  ;;
PAS_EMP_REPASSE;X46000002;OBRIGACOES POR EMPRESTIMOS E REPASSES             ;;
PAS_EMP_INST_OFIC;X46100005;EMPRESTIMOS NO PAIS - INSTITUICOES OFICIAIS       ;;
PAS_EMP_OUTROS;X46200008;EMPRESTIMOS NO PAIS - OUTRAS INSTITUICOES         ;;
PAS_EMP_EXT;X46300001;EMPRESTIMOS NO EXTERIOR                           ;;
PAS_REP_INST_OFIC;X46400004;REPASSES DO PAIS - INSTITUICOES OFICIAIS          ;;
PAS_REP_EXT;X46600000;REPASSES DO EXTERIOR                              ;;
PAS_DERIV;X47000001;INSTRUMENTOS FINANCEIROS DERIVATIVOS              ;;
PAS_COBR_ARREC_TRIB;X49100002;Cobrança e Arrecadação de Tributos;;
PAS_CART_CAMBIO;X49200005;Carteira De Cambio                      ;;
PAS_SOCIAIS_ESTATUTARIAS;X49300008;Sociais e Estatutárias;;
PAS_FISC_PREV;X49400001;Fiscais e Previdenciárias;;
PAS_NIV;X49500004;Negociacao E Intermediacao De Valores;;
PAS_DEST_ESPECIF;X49600007;Recursos Para Destinacao Especifica;;
PAS_OPER_ESPECIAIS;X49700000;Operações Especiais;;
PAS_OBRIG_DIVERSAS;X49800003;Obrigações Diversas;;
PAS_DIVERSAS;X49900006;Diversas;;
TCE;PL - ATIV_INTANGIVEL - ATIV_DIFERIDO;;;
TC_PL;TC / PL;;;
TCA;TC + TCOFF;;;
TCA_PL;ifelse(TCA<=0,NA,TCA / PL);;;
TCA_ATIV;TCA / ATIV_TOTAL;MOD;;
D_TC;TC_D/TC;OPERACOES DE RISCO NIVEL E                        ;;
E_TC;TC_E/TC;OPERACOES DE RISCO NIVEL E                        ;;
F_TC;TC_F/TC;OPERACOES DE RISCO NIVEL F                        ;;
G_TC;TC_G/TC;OPERACOES DE RISCO NIVEL G                        ;;
H_TC;TC_H/TC;OPERACOES DE RISCO NIVEL H                        ;;
EH_TC;ifelse(TC==0,NA,E_TC + F_TC + G_TC + H_TC);;;
DH_TC;ifelse(TC==0,NA,EH_TC + D_TC);MOD;QA_QCC;PQCC*0.9
LLR_TC;ifelse(TC==0,NA,ATIV_PROV*100 / TC);;;
LLR_EH;LLR_TC / EH_TC;;;
AFL;ATIV_DISP + ATIV_AI_COMP + ATIV_AI_DI + ATIV_TVM_LIVRES - PAS_DERIV;;;
AFL2;ATIV_DISP + ATIV_AI_COMP + ATIV_AI_DI + ATIV_TVM - ATIV_TVM_VINC_GARANT - PAS_OBRIG_COMP - PAS_DERIV;;;
AFL_PL;ifelse(PL<=0,NA,AFL / PL);MOD;LIQ;
RES_CRED;X71100001 + X71200004 + X81300004;;;
RES_CAMBIO;X71300007 + X81400007;;;
RES_AIL;X71400000;;;
RES_TVM;X71500003 + X81500000;;;
REC_PRES_SERV;X71700009;RENDAS DE PRESTACAO DE SERVICOS                   ;;
RES_PART;X71800002 + X81600003;;;
RES_OPER_OUTROS;X71900005 + X81900002;;;
DESP_CAPTACAO;X81100008 + X81200001 ;;;
DESP_PROV;X81800009;;;
DESP_ADM;X81700006;(-) DESPESAS ADMINISTRATIVAS                      ;;
